CPU,NUMERO_ITERACION,LATENCIA
0,0,116923
0,1,33089
0,2,32348
0,3,31608
0,4,26237
0,5,26145
0,6,27349
0,7,27404
0,8,31552
0,9,29478
0,10,31423
0,11,31367
0,12,32349
0,13,30830
0,14,40275
0,15,26033
0,16,23608
0,17,20885
0,18,27719
0,19,26923
0,20,31942
0,21,31275
0,22,31275
0,23,30867
0,24,32182
0,25,28256
0,26,29349
0,27,23534
0,28,23219
0,29,28385
0,30,31071
0,31,28386
0,32,31682
0,33,28682
0,34,30516
0,35,29904
0,36,29238
0,37,29645
0,38,29627
0,39,31053
0,40,27608
0,41,29867
0,42,31071
0,43,29219
0,44,30294
0,45,29756
0,46,29256
0,47,26719
0,48,30849
0,49,25015
0,50,29126
0,51,28923
0,52,25997
0,53,37330
0,54,30441
0,55,30570
0,56,30663
0,57,26201
0,58,26478
0,59,25053
0,60,25979
0,61,25071
0,62,26053
0,63,24775
0,64,25553
0,65,29737
0,66,24904
0,67,29534
0,68,28608
0,69,29479
0,70,29071
0,71,26367
0,72,29589
0,73,30682
0,74,44571
0,75,23923
0,76,30330
0,77,34460
0,78,29886
0,79,32163
0,80,30034
0,81,34941
0,82,30700
0,83,31552
0,84,29830
0,85,30719
0,86,26905
0,87,27478
0,88,30682
0,89,35497
0,90,30238
0,91,35885
0,92,23627
0,93,36015
0,94,40885
0,95,28405
0,96,29016
0,97,31775
0,98,29645
0,99,35701
0,100,23793
0,101,29330
0,102,25979
0,103,26794
0,104,27516
0,105,27664
0,106,26960
0,107,31108
0,108,26312
0,109,30830
0,110,25516
0,111,26719
0,112,26775
0,113,26367
0,114,40126
0,115,31145
0,116,26275
0,117,29960
0,118,25756
0,119,26534
0,120,26127
0,121,28015
0,122,26663
0,123,22812
0,124,26904
0,125,29701
0,126,21219
0,127,26422
0,128,25812
0,129,26404
0,130,25978
0,131,30090
0,132,31478
0,133,27775
0,134,23479
0,135,32571
0,136,29645
0,137,29738
0,138,29997
0,139,29441
0,140,26145
0,141,29885
0,142,30626
0,143,29330
0,144,29293
0,145,29552
0,146,29385
0,147,30590
0,148,27145
0,149,26015
0,150,27515
0,151,41367
0,152,26257
0,153,28201
0,154,41441
0,155,28738
0,156,27053
0,157,24108
0,158,22385
0,159,28274
0,160,27515
0,161,27959
0,162,27719
0,163,27904
0,164,26460
0,165,27293
0,166,27348
0,167,32219
0,168,27478
0,169,27719
0,170,27312
0,171,32793
0,172,26460
0,173,28719
0,174,41774
0,175,28090
0,176,21719
0,177,27515
0,178,27867
0,179,31182
0,180,26201
0,181,27367
0,182,27182
0,183,27497
0,184,27349
0,185,28423
0,186,27442
0,187,31127
0,188,26775
0,189,27405
